id,name,domain
50053ffa-96aa-4494-94b9-d9330b81fe9d,Gonzalez-Becker Initiative,Telecommunications
d4e0fec4-0117-435d-abd8-52afd1d20ea2,"Nguyen, Peters and Walker Initiative",Healthcare
22d2a96c-bb93-40af-8682-cdea6b45fc48,Abbott-Carter Solution,Cybersecurity
c3de9633-a182-4841-9ca5-3b251ca9fe35,Martin-Ball Project,Financial Services
05f36a38-8c60-4f6a-b5f2-51e666f33bc6,Brown Inc Initiative,Transportation and Logistics
1dfa8aa1-af13-461f-b671-d238523e05b2,Stevenson-Johnson Project,E-commerce
b65d69e0-06cd-483b-bd7f-39358f91dc26,Serrano and Sons Solution,Cybersecurity
f46aa804-2724-496f-9b52-82014c7ee1e0,"Brown, Vasquez and Bush Initiative",Telecommunications
f6ffb81a-a76f-42b6-93d7-5b70eb25b8f7,Cabrera Inc Project,Telecommunications
28deece0-a11d-4b90-8a28-dc3556cdf8d7,Hurley Group Project,E-commerce
e0bb24af-4a1f-4889-a6ec-fb4f239a2563,"Donovan, Tyler and Cabrera Solution",Cybersecurity
5c88073f-c560-4ee1-8562-b2a7b35337c0,Lindsey Inc Initiative,Education Technology
728684ec-894f-42a5-b4e6-7a336e3fda3b,Taylor LLC Project,Healthcare
ecd82428-41f8-43aa-bf31-585f0aa048ac,"Sanchez, Jackson and Scott Initiative",Education Technology
025be9ae-89c1-4b32-995e-aedb18fca76f,"Jackson, Nguyen and Crawford Project",E-commerce
747eae87-f0bb-4637-babc-6a92f367f4df,Love Ltd Solution,Healthcare
2366ad84-78cc-4f11-965f-de7a58d0571f,"Austin, Barnes and Marquez Initiative",Artificial Intelligence and Machine Learning
460d2c09-23a1-467b-82a7-79eed87550f5,Dalton Group Solution,Education Technology
867ed8d7-6e71-4696-b1d6-26189a193d02,Simpson-Caldwell Project,Media and Entertainment
c39dce76-ed4f-48ad-b0b9-5521263ad9be,Ford LLC Solution,E-commerce
0d2f733f-e9e4-40e4-b4e4-a8505552a0bd,Harris-Nicholson Project,Education Technology
f45d2164-93a4-454d-ab94-3e4bbda3b25c,Henry-Sandoval Project,E-commerce
cf604edb-f6fe-4839-891c-2924e84e8c7f,"Chase, Molina and Mccoy Initiative",E-commerce
967f9f5d-7963-4e29-9848-1248ff2650c1,Lin-Johnson Solution,Artificial Intelligence and Machine Learning
dfee7f15-a70f-4914-8ed0-c2f723e12188,Malone-Mcclure Initiative,Renewable Energy
8ea3b8e4-169b-42f0-a332-462f311384aa,Scott and Sons Project,Financial Services
8530c4f3-1f02-444a-a4aa-9ab166c86418,"Brown, Sims and Davis Initiative",Transportation and Logistics
1637b3d9-6718-4e14-8805-c1b30383f151,Butler-Acosta Solution,E-commerce
66bfb659-1062-425b-a3e8-44e3d6e26fab,Lopez Inc Initiative,Artificial Intelligence and Machine Learning
35ac7a93-6c1c-49c0-962e-c940458104ef,Li-Schwartz Project,Artificial Intelligence and Machine Learning
ecaf3ed4-9e5f-48a0-b237-a58a667ba773,Castillo PLC Solution,Healthcare
9d91358c-3967-4bf8-9cc1-9316b34fd462,"Lang, Allen and Hayes Solution",Telecommunications
8f042fb8-208e-4bf7-b51e-f319fbd70273,Snow-Lee Project,Transportation and Logistics
10b96a3c-3b4c-432b-87ab-873b9a0f84eb,Greene Inc Initiative,Healthcare
71fd0e5c-aa55-4e2f-8912-f8eeaaca8158,"Turner, Evans and Reed Solution",Transportation and Logistics
a7b586e1-79a7-4fa2-bbe1-aaf75dce7f9c,"Mckinney, Ross and Reed Solution",Artificial Intelligence and Machine Learning
de57cab8-a354-4725-8bfc-058f5b33d81a,"Gonzalez, Anderson and Walsh Project",Renewable Energy
a90a69e6-24b7-4151-85c5-1c8c5c148ef8,Meyers-Nunez Project,Renewable Energy
620431bc-5ce7-40bc-95a0-7011e93f3482,Ward-Berg Initiative,E-commerce
466d7e61-cab4-4d56-8265-e72796e3fd62,"Jimenez, Mendez and Lewis Initiative",Media and Entertainment
2fe7ae2e-42c8-4f3c-83ab-69077e6d50a5,Patrick Inc Initiative,Cybersecurity
4ddc4c7d-696e-4483-8191-48425cef993d,Austin-Clark Project,Financial Services
b8e010b3-2263-4540-b241-96ea25fb207d,"Strickland, Roberts and Dixon Solution",E-commerce
3fdf4e28-b4af-4a73-bbed-dcb9bee37532,"Stevens, Andrews and Medina Initiative",Artificial Intelligence and Machine Learning
32a81f98-0a1a-459f-b574-5485fa0c22e0,"Adams, Mcgee and Baker Initiative",Cybersecurity
597cf17f-e8c0-4b2d-8ab4-c86e6446d7c8,Hernandez-Wells Initiative,Media and Entertainment
0ccc4164-f8bc-483e-8bbe-6275158d1dd1,Schneider and Sons Solution,Cybersecurity
e4d1f609-ca47-4fa4-8e1e-f694d42b0690,Herrera Ltd Initiative,Renewable Energy
bed4eb6e-4c98-416a-92ac-0d9e1ede04c3,Moreno-Jackson Project,Artificial Intelligence and Machine Learning
d36578e6-b107-4994-9acc-0d21e487037a,"Diaz, Lam and Maldonado Project",Cybersecurity
